Metro Propensity,BRT Propensity,BikeShare Propensity,Wealth,Sustainability,Population,Congestion,Sprawl,Network Density
0.1092181938,0.1044975375,0.3626453212,0.123801558,0.2559770165,0.1568710484,0.7322213479,0.372441222,0.2731691667
0.888907128,0.1579023545,0.3095914148,0.7284275929,0.5621176982,0.1739277184,0.588518006,0.1708933572,0.1092550301
0.5862240468,0.1191125521,0.4731728829,0.4412980334,0.503136865,0.0546414158,0.3660265052,0.3668492112,0.5585707204
0.368698107,0.0735684539,0.5138388343,0.1807776147,0.2432331258,1,0.6229909266,0.4161150327,0.5674048405
0.150545897,0.0479218688,0.4485128691,0.1766024126,0.2154115146,0.7341190882,0.6602842271,0.1091474612,0.3120215189
0.2168498298,0.0450613807,0.4384079227,0.1035432234,0,0.4654977469,0.6390739104,0.1092068728,0.4084530511
0.1128753178,0.0421208722,0.4239380454,0.105809687,0.3221489746,0.421691496,0.5365660454,0.3961776627,0.4548663325
0.1475598274,0.0476353701,0.4772603571,0.1647648735,0.2529668156,0.4784105885,0.5540866825,0.2785074307,0.4963630757
0.0812596432,0.1152875667,0.4306251249,0.0881423975,0.2900846824,0.2369982725,0.5954179577,0.3552909157,0.3951412362
0.0760096384,0.0403269158,0.4547746815,0.1202860706,0.3035633466,0.4049542456,0.5245942979,0.3745079058,0.6376551048
0.0410207472,0.1540391679,0.4586549348,0.1748937699,0.2309489559,0.3337448398,0.4836226129,0.1960029134,0.3097509999
0.056680597,0.1124663883,0.4308875032,0.119680302,0.3231967339,0.3639593321,0.5276580704,0.1021614896,0.250678253
0.0856793743,0.0405004422,0.4078961278,0.0691026238,0.3193796903,0.2291113574,0.6729087529,0.2542064822,0.3467859082
0.0532484939,0.3999884799,0.5035225385,0.1561859794,0.3923517286,0.4063683516,0.492443965,0.1468674254,0.2455623707
0.0814704307,0.0419732077,0.3642932417,0.0931451587,0.329927765,0.204463935,0.6850555404,0.221194503,0.2420448786
0.1141742195,0.4302360382,0.3922119961,0.2348769482,0.1852102329,0.4531878605,0.8656524022,0.5932960315,0.6436252518
0.0863386979,0.0458900359,0.370679259,0.1343204542,0.3523436348,0.1823426077,0.6804318693,0.4073870676,0.3969865264
0.0872546552,0.0426886337,0.3956941148,0.1038982818,0.3618214292,0.1985029522,0.6861797148,0.3809360772,0.3100806163
0.3568711687,0.5167622385,0.4011100355,0.2169342239,0.1660035851,0.2322026673,0.6107480029,0.8213439323,0.5230345815
0.1543005011,0.1159771796,0.3951700658,0.2516222138,0.272898015,0.1476329937,0.5301558084,0.8143126457,0.4014165798
0.1096994434,0.2731059685,0.4127945602,0.2391593432,0.2356591631,0.123090486,0.5468216541,0.7820050411,0.4993973316
0.1122280219,0.4010361767,0.396272356,0.2640790657,0.3340510567,0.1298023059,0.550403547,0.8288020376,0.3942281458
0.1209010249,0.1134286119,0.3892517543,0.2349070384,0.2729333012,0.1040576392,0.5459088686,0.7795039103,0.3475904333
0.056935186,0.0905549766,0.3967928966,0.2237460013,0.2264717581,0.2820521067,0.5589729238,0.609882815,0.4908157513
0.0125795574,0.0758513703,0.3816433529,0.2868381438,0.2631345356,0.137882265,0.4322679432,0.4078054472,0.6410792406
0.0487309273,0.2570671899,0.3878976848,0.7521410048,0.3987275301,0.0653312503,0.5446448438,0.1759056046,0.4050423136
0.0728603897,0.1411879075,0.3865263226,0.7174458375,0.4578872711,0.0973542482,0.40991831,0.1597633653,0.5497312337
0.0217614559,0.6538554374,0.3694367739,0.6787084566,0.4737542388,0.0354255578,0.3490231015,0.1172594272,0.4664999754
0.0916405877,0.1307282521,0.3299909387,0.6764685434,0.4900598165,0.0142092286,0.4259221588,0.2198653627,0.4615895408
0.4008600453,0.1175751319,0.3598942793,0.6283401165,0.3542273372,0.0640721388,0.5681232688,0.2292657547,0.3745117079
0.4482875242,0.1230564655,0.4650730787,0.6938970145,0.4771415149,0.0770567338,0.477753495,0.1924656676,0.5730358978
0.158667834,0.131958203,0.3781682323,0.5429183554,0.3650664303,0.0557765929,0.4145818354,0.0922910916,0.447953449
0.1597181038,0.1180410585,0.4795257079,0.5905326232,0.4429369083,0.0483956198,0.3283104164,0.1522093481,0.5525766558
0.6884796004,0.1513703893,0.3383272017,0.7893893347,0.5095182698,0.3661761098,0.6425471079,0.5180942732,1
0.5596601745,0.1614907322,0.3413737347,0.7149394988,0.4708604698,0.128390546,0.5958364775,0.3967364583,0.9084001354
0.3961258504,0.2548025373,0.2838689249,0.7323306506,0.4422012684,0.077916036,0.5535426012,0.438217991,0.9732137951
0.3071058276,0.1423024716,0.4070196754,0.4680396414,0.5141838418,0.0350943098,0.5505964143,0.6041966754,0.394119774
0.3875985964,0.1431904012,0.4167909356,0.4709775376,0.4840713849,0.0363215236,0.5254378691,0.3512529076,0.5191288179
0.2942314163,0.1415137784,0.4261784711,0.4839228383,0.4971808125,0.0332922048,0.5109133689,0.3870667135,0.3972926943
0.2797245775,0.1394157436,0.3962175036,0.463614948,0.5427138994,0.0260130047,0.5987958241,0.3764465079,0.4037901481
0.068083686,0.1065841445,0.3527234363,0.3301225257,0.2050459146,0.066443331,0.5104007439,0.3585625992,0.5502117653
0.1066045971,0.0448903301,0.4078691324,0.2710833821,0.4941236596,0.0807993047,0.4871728556,0.7394683086,0.3750040773
0.1217132028,0.0919739857,0.3456462456,0.1187207076,0.1452371147,0.3069725392,0.7706245986,0.4132285223,0.2305920295
0.0921957744,0.0610223381,0.343552693,0.0778405116,0.3128253733,0.177341622,0.6891901647,0.345911962,0.191152264
0.0623953325,0.1472542515,0.2719218196,0.7425971491,0.391968566,0.0865029954,0.2800326008,0.8813413488,0.1760288275
0.0498488536,0.0700633667,0.3815079566,0.1996166801,0.2649555399,0.1085529354,0.5600902648,0.6247338001,0.3526806213
0.0717109299,0.0286270728,0.3661095213,0.0643855276,0.3827050558,0.2182881475,0.6884619849,0.234607783,0.260551129
0.0256907463,0.1161126376,0.3396288164,0.3908192239,0.325822753,0.0787017199,0.496427394,0.338769056,0.8652803783
0.0510179238,0.0860876773,0.3791423005,0.1605239585,0.2318681878,0.1118047776,0.557511737,0.6521785115,0.2393552598
0.0593780022,0.1068844477,0.3610366535,0.2827286797,0.2623674097,0.080810893,0.5532272746,0.7865681349,0.3871684506
0.0705750642,0.0609475337,0.3526896103,0.029178031,0.3015738317,0.2702690386,0.6915378776,0.3418660016,0.2343127097
0.2234647748,0.1086458649,0.447290955,0.4062730074,0.3282398279,0.1579490964,0.4946722917,0.8114057624,0.6005325021
0.0734882919,0.0938171987,0.3968167874,0.3331714351,0.3920839309,0.1210760679,0.5224405595,0.8076731991,0.3673750191
0.0369870889,0.0305900273,0.3704488642,0.043062322,0.2964970441,0.2765762209,0.6514999747,0.2897981083,0.5923586621
0.0726857664,0.0451715762,0.3422157892,0.0656341581,0.3227800959,0.1597254034,0.6880516231,0.3107669938,0.4076784647
0.543808417,0.341432713,0.5425023461,0.3185579577,0.1315640174,0.4595697776,1,0.5386455088,0.7658393125
0.0869851138,0.2443462138,0.4742000447,0.2697736038,0.3345517511,0.1672878557,0.5834626378,0.678189754,0.2499595262
0.2434299364,0.2622930798,0.4309448006,0.3278963681,0.3906358147,0.165127245,0.5219119512,0.5240444743,0.5749541598
0.0737186367,0.4207685896,0.3955070312,0.3072816486,0.3002444799,0.1133855003,0.5707580234,0.8795744682,0.2833541182
0.0646625153,0.1237241163,0.4283224741,0.2913906666,0.2848228488,0.1168402629,0.5610566377,0.5849086046,0.4077005765
0.1022909864,0.1266338265,0.3828359974,0.2765596607,0.2883577822,0.1087982966,0.6097669629,0.5499058442,0.369743078
0.1029109914,0.6367426507,0.3737551006,0.2952610851,0.227932969,0.099810057,0.6411408915,0.5430187686,0.3491902476
0.0575507026,0.3432433663,0.4139831737,0.298345507,0.229107178,0.0938996456,0.549812871,0.6468292401,0.4897893512
0.115996422,0.4546931071,0.3793646204,0.286875351,0.2354009664,0.0773052415,0.6873707606,0.5027144093,0.2733841683
0.0341156095,0.4204669414,0.4018908975,0.3133102575,0.2948199912,0.0817952663,0.5131974878,0.9471892135,0.2582619423
0.0809249808,0.0708945177,0.301711657,0.1762880924,0.3278202292,0.156209281,0.677052895,0.4805465834,0.2672410927
0.0643710994,0.0776423113,0.3879740417,0.1548651517,0.3373769741,0.1685833116,0.6405532178,0.2786029055,0.4820313092
