City,cityID,clusterID,Country,modeCar,modePT,modeBike,modeWalk,gasPrice,rdDeath,subLen,subLenD,subStPHK,subRidPC,subAge,BRTLen,BRTLenD,BRTStPHK,BRTFlPHK,BRTRidPC,BRTAge,bsSt,bsStPHK,bsBikes,bsBikPHK,bsAge,congest,AMPeak,PMPeak,TI,TTI,inefInd,pop,land,popDen,poCh9000,poCh0010,poCh1020,poCh2025,ur15,urCh1525,GDPPCP,unemploy,costLiv,rent,grocery,restaPri,locPurPo,gini,poverty,lifeExp,safety,internet,digital,innovat,smartphon,CO2EmsPC,polluI,stLenT,stLenD,stLenAvg,intersT,intersD,k_avg,stPerNode,circuity,loopP,highwayP
Birmingham,262,13,United Kingdom,64.8,17.04,1.53,8.57,1.68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,46,51,,,,2530000,599,4100,-15803,-11992,179529,149990,82.6,2.2,31572,11.8,65.06,28.32,52.91,69.61,102.97,0.39,,81.2,48.49,89.8,0.77,41,68,4.68,41.62,4791803.646,9150291741,90.41991972,30143,1909.571514,4.556641534,2.452224704,1.058733709,0.008906684,0.012823666
Manchester,263,13,United Kingdom,70.6,15,2.2,11,1.7,1.8,0,0,0,0,0,38,0.06031746,2.894736842,,2.368421053,22,0,0,0,0,0,38,68,79,182,42.33,166.22,2660000,630,4100,-34610,-31865,168197,146489,82.6,2.2,38151,8.6,67.5,29,53.63,76.88,106.31,0.39,,81.2,50.04,89.8,0.77,46,68,4.96,50.98,2963967.375,11345031487,82.22507767,20390,3827.650596,4.701297802,2.496591106,1.060841608,0.003224287,0.011635475
Glasgow,264,9,United Kingdom,68.07,21.1,0.95,8.92,1.69,1,10.4,0.02826087,1.214574899,10.36437247,121,0,0,0,0,0,0,31,2.510121458,,,4,29,50,62,187.17,45.11,236.58,1235000,368,3300,-46568,-30497,79971,83468,82.6,2.2,41561,9,67.96,27.63,54.29,82.5,114.98,,,81.2,53.48,89.8,0.77,43,68,5.09,,3190218.505,9619653875,102.5233315,17915,3015.358935,4.783255737,2.576197207,1.079929894,0.008794952,0.02288829
Newcastle upon Tyne,265,13,United Kingdom,66.9,18.4,2.1,11.1,1.7,2.1,0,0,0,0,0,0,0,0,0,0,0,12,1.509433962,60,7.547169811,8,32,56,56,,,,795000,181,4300,3296,-5932,79949,67735,82.6,2.2,35702,,64.37,24.38,49.34,71.95,112.59,0.39,,81.2,60.85,89.8,0.77,41,68,4.96,,1546374.992,7343383898,90.12034453,9683,4748.773058,4.589999303,2.396471163,1.068090112,0.003281877,0.00123775
Liverpool,266,13,United Kingdom,68.7,17.4,2,10.6,1.69,1.6,0,0,0,0,0,0,0,0,0,0,0,130,14.77272727,1000,113.6363636,4,30,47,50,,,,880000,200,4300,-12856,-21189,59424,61730,82.6,2.2,34669,10.2,68.23,22.88,58.95,66.79,103.26,0.38,,81.2,60.74,89.8,0.77,41,68,4.83,,2285513.493,9410591391,85.65429274,15106,4117.495442,4.657843046,2.493966888,1.059171014,0.004056469,0.005588348
New York(NY),267,11,United States,56.2,31.4,0.7,5.8,0.75,5.7,375,0.03221096,2.281846749,132.9465796,113,80,0.006871672,0.570461687,1.058738216,2.894358231,10,508,2.455885908,8000,38.67536862,5,35,50,62,198.38,47.9,202.53,20685000,11642,1800,1760274,2258496,2382349,1085472,81.6,1.7,70758,7.9,100,100,100,100,100,0.499,20,80.7,52.83,73.4,0.78,59,72,17.7,59.89,19944237.56,8647069258,129.7186183,87680,433.5622874,5.31353108,3.186034237,1.029795715,0.00171405,0.04148077
Los Angeles(CA),268,9,United States,84.7,5.1,0.8,2.5,0.91,8.1,28,0.00444515,0.10571523,3.026098447,24,23,0.003651373,0.092500826,0.198216056,0.654112983,13,65,0.42946812,1000,6.60720185,2,45,62,84,225.96,45.77,289.6,15135000,6299,2400,930117,1409477,1684154,779784,81.6,1.7,66477,9.2,78.72,68.21,73.83,81.94,119.79,0.471,20.5,81.15,45.22,73.5,0.78,55,72,15.3,62.53,21803908.97,6522016421,156.2041249,78832,299.1214295,5.559783595,2.980621685,1.049846109,0.001143901,0.024889563
Chicago(IL),269,9,United States,78,12,0.7,3.1,0.71,7.8,165.4,0.024124854,1.589548176,25.97713664,120,25,0.003646441,0.326619488,,0.40827436,,580,6.31464344,5800,63.1464344,5,26,36,57,202.03,44.21,222.91,9185000,6856,1300,959513,1211483,1286998,602142,81.6,1.7,59810,9.1,84.81,57.45,82.63,85.15,125.15,0.465,20.9,74.075,34.66,78.5,0.78,51,72,18.5,42.62,12500968.79,8576559898,150.5125312,46139,686.0716191,5.684480564,3.253402526,1.027464615,0.002990237,0.023108181
Miami(FL),270,9,United States,87,3.8,0.5,1.7,0.7,14.5,39.3,0.012246806,0.395189003,3.625429553,33,34,0.010595201,0.962199313,0.790378007,1.18556701,21,100,1.718213058,1000,17.18213058,7,30,50,63,203.99,43.5,205.91,5820000,3209,1700,976661,1024517,872002,412796,81.6,1.7,47438,7.4,82.77,61.31,81.07,87.27,100.59,0.474,26.6,79.4,43.05,76.2,0.78,50,72,14.5,41.93,3000176.32,10162513650,123.6421315,13837,3387.305467,5.814234828,3.278042879,1.022060633,0.000577968,0.017944244
Philadelphia(PA),271,9,United States,80.5,9.3,0.6,3.6,0.75,9.4,82,0.01598129,1.572832887,19.03485255,110,0,0,0,0,0,0,126,2.252010724,,,3,23,37,49,211.92,43.92,300.9,5595000,5131,1100,435270,681025,848806,405164,81.6,1.7,62817,8.2,83.24,51.12,85.15,74.69,113.72,0.461,25.8,78.5,39.46,76.2,0.78,49,72,17.2,,8632967.687,10347296780,124.2225119,40307,1198.579348,5.297489893,3.179704451,1.041980551,0.003311201,0.019103377
